127.0.0.1 - - [29/Jan/2019:14:50:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:20 +0530] "GET /LS_SQL_TEST/css/appCSS/product/rules_extraction_product.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:20 +0530] "GET /LS_SQL_TEST/js/jGrowl/jquery.jgrowl.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:20 +0530] "GET /LS_SQL_TEST/jquery.jgrowl.map HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:20 +0530] "GET /LS_SQL_TEST/js/jquery/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:20 +0530] "GET /LS_SQL_TEST/assets/js/docs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:21 +0530] "GET /LS_SQL_TEST/getOriognal_FileName.htm?&customerId=p8hVEAiVA2YAMrzNyekMYQ_EEEE_&wqId=ub3QacpbGxYSOWg5LCfadw_EEEE_ HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:22 +0530] "GET /LS_SQL_TEST/getConverted_FileNames.htm?&customerId=p8hVEAiVA2YAMrzNyekMYQ_EEEE_&wqId=ub3QacpbGxYSOWg5LCfadw_EEEE_ HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:40 +0530] "POST /LS_SQL_TEST/rules_extraction_subpage.htm HTTP/1.1" 200 3530
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:40 +0530] "GET /LS_SQL_TEST/js/jquery.multiselect.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:40 +0530] "GET /LS_SQL_TEST/css/jquery.multiselect.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:40 +0530] "GET /LS_SQL_TEST/css/appCSS/product/rules_pdf_basedparser_product.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:52:59 +0530] "POST /LS_SQL_TEST/forcedOCR.htm HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:54:40 +0530] "POST /LS_SQL_TEST/forcedOCR.htm HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [29/Jan/2019:16:40:24 +0530] "GET /LS_SQL_TEST/welcome.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:16:40:24 +0530] "GET /LS_SQL_TEST/login.htm HTTP/1.1" 200 2263
